Team1,Team2,Team1 Score,Team2 Score,Stage
Germany,Costa Rica,4,2,Group
Poland,Ecuador,0,2,Group
Germany,Poland,1,0,Group
Ecuador,Costa Rica,3,0,Group
Ecuador,Germany,0,3,Group
Costa Rica,Poland,1,2,Group
England,Paraguay,1,0,Group
Trinidad and Tobago,Sweden,0,0,Group
England,Trinidad and Tobago,2,0,Group
Sweden,Paraguay,1,0,Group
Sweden,England,2,2,Group
Paraguay,Trinidad and Tobago,2,0,Group
Argentina,Côte d'Ivoire,2,1,Group
Serbia and Montenegro,Netherlands,0,1,Group
Argentina,Serbia and Montenegro,6,0,Group
Netherlands,Côte d'Ivoire,2,1,Group
Netherlands,Argentina,0,0,Group
Côte d'Ivoire,Serbia and Montenegro,3,2,Group
Mexico,Iran,3,1,Group
Angola,Portugal,0,1,Group
Mexico,Angola,0,0,Group
Portugal,Iran,2,0,Group
Portugal,Mexico,2,1,Group
Iran,Angola,1,1,Group
Italy,Ghana,2,0,Group
United States,Czech Republic,0,3,Group
Italy,United States,1,1,Group
Czech Republic,Ghana,0,2,Group
Czech Republic,Italy,0,2,Group
Ghana,United States,2,1,Group
Brazil,Croatia,1,0,Group
Australia,Japan,3,1,Group
Brazil,Australia,2,0,Group
Japan,Croatia,0,0,Group
Japan,Brazil,1,4,Group
Croatia,Australia,2,2,Group
France,Switzerland,0,0,Group
South Korea,Togo,2,1,Group
France,South Korea,1,1,Group
Togo,Switzerland,0,2,Group
Togo,France,0,2,Group
Switzerland,South Korea,2,0,Group
Spain,Ukraine,4,0,Group
Tunisia,Saudi Arabia,2,2,Group
Spain,Tunisia,3,1,Group
Saudi Arabia,Ukraine,0,4,Group
Saudi Arabia,Spain,0,1,Group
Ukraine,Tunisia,1,0,Group
Germany,Sweden,2,0,Round of 16
Argentina,Mexico,2,1,Round of 16
England,Ecuador,1,0,Round of 16
Portugal,Netherlands,1,0,Round of 16
Italy,Australia,1,0,Round of 16
Switzerland,Ukraine,0,0,Round of 16
Brazil,Ghana,3,0,Round of 16
Spain,France,1,3,Round of 16
Germany,Argentina,1,1,Quarter-finals
Italy,Ukraine,3,0,Quarter-finals
England,Portugal,0,0,Quarter-finals
Brazil,France,0,1,Quarter-finals
Germany,Italy,0,2,Semi-finals
Portugal,France,0,1,Semi-finals
Germany,Portugal,3,1,Match for third place
Italy,France,1,1,Final
