Team1,Team2,Team1 Score,Team2 Score,Stage
Qatar,Ecuador,0,2,Group
Senegal,Netherlands,0,2,Group
Qatar,Senegal,1,3,Group
Netherlands,Ecuador,1,1,Group
Ecuador,Senegal,1,2,Group
Netherlands,Qatar,2,0,Group
England,Iran,6,2,Group
United States,Wales,1,1,Group
Wales,Iran,0,2,Group
England,United States,0,0,Group
Wales,England,0,3,Group
Iran,United States,0,1,Group
Argentina,Saudi Arabia,1,2,Group
Mexico,Poland,0,0,Group
Poland,Saudi Arabia,2,0,Group
Argentina,Mexico,2,0,Group
Poland,Argentina,0,2,Group
Saudi Arabia,Mexico,1,2,Group
Denmark,Tunisia,0,0,Group
France,Australia,4,1,Group
Tunisia,Australia,0,1,Group
France,Denmark,2,1,Group
Australia,Denmark,1,0,Group
Tunisia,France,1,0,Group
Germany,Japan,1,2,Group
Spain,Costa Rica,7,0,Group
Japan,Costa Rica,0,1,Group
Spain,Germany,1,1,Group
Japan,Spain,2,1,Group
Costa Rica,Germany,2,4,Group
Morocco,Croatia,0,0,Group
Belgium,Canada,1,0,Group
Belgium,Morocco,0,2,Group
Croatia,Canada,4,1,Group
Croatia,Belgium,0,0,Group
Canada,Morocco,1,2,Group
Switzerland,Cameroon,1,0,Group
Brazil,Serbia,2,0,Group
Cameroon,Serbia,3,3,Group
Brazil,Switzerland,1,0,Group
Serbia,Switzerland,2,3,Group
Cameroon,Brazil,1,0,Group
Uruguay,South Korea,0,0,Group
Portugal,Ghana,3,2,Group
South Korea,Ghana,2,3,Group
Portugal,Uruguay,2,0,Group
Ghana,Uruguay,0,2,Group
South Korea,Portugal,2,1,Group
Netherlands,United States,3,1,Round of 16
Argentina,Australia,2,1,Round of 16
France,Poland,3,1,Round of 16
England,Senegal,3,0,Round of 16
Japan,Croatia,1,1,Round of 16
Brazil,South Korea,4,1,Round of 16
Morocco,Spain,0,0,Round of 16
Portugal,Switzerland,6,1,Round of 16
Croatia,Brazil,1,1,Quarter-finals
Netherlands,Argentina,2,2,Quarter-finals
Morocco,Portugal,1,0,Quarter-finals
England,France,1,2,Quarter-finals
Argentina,Croatia,3,0,Semi-finals
France,Morocco,2,0,Semi-finals
Croatia,Morocco,2,1,Match for third place
Argentina,France,3,3,Final
